,team,home_wins,away_wins,total_wins,home_losses,away_losses,total_losses,home_draws,away_draws,total_draws,home_games_played,away_games_played,total_games_played,home_win_pct,home_unbeaten_pct,away_win_pct,away_unbeaten_pct,win_pct,unbeaten_pct,home_friendly_wins,away_friendly_wins,total_friendly_wins,home_friendly_losses,away_friendly_losses,total_friendly_losses,home_friendly_draws,away_friendly_draws,total_friendly_draws,home_friendly_games_played,away_friendly_games_played,total_friendly_games_played,home_friendly_win_pct,home_friendly_unbeaten_pct,away_friendly_win_pct,away_friendly_unbeaten_pct,friendly_win_pct,friendly_unbeaten_pct,tournament_wins,tournament_losses,tournament_draws,tournament_games_played,tournament_win_pct,tournament_unbeaten_pct,home_goals_for,average_home_goals_for,home_goals_against,average_home_goals_against,home_goal_difference,average_home_goal_difference,away_goals_for,average_away_goals_for,away_goals_against,average_away_goals_against,away_goal_difference,average_away_goal_difference,goals_for,average_goals_for,goal_difference,average_goal_difference,goals_against,average_goals_against,friendly_home_goals_for,average_friendly_home_goals_for,friendly_home_goals_against,average_friendly_home_goals_against,friendly_home_goal_difference,average_friendly_home_goal_difference,friendly_away_goals_for,average_friendly_away_goals_for,friendly_away_goals_against,average_friendly_away_goals_against,friendly_away_goal_difference,average_friendly_away_goal_difference,friendly_goals_for,average_friendly_goals_for,friendly_goals_against,average_friendly_goals_against,friendly_goal_difference,friendly_average_goal_difference,tournament_goals_for,average_tournament_goals_for,tournament_goals_against,average_tournament_goals_against,tournament_goal_difference,average_tournament_goal_difference
0,Abkhazia,11.0,3.0,14.0,3.0,2.0,5.0,8.0,5.0,13.0,22.0,10.0,32.0,0.5,0.8636363636363636,0.3,0.8,0.4375,0.84375,2.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,6.0,0.4,0.8,0.0,0.0,0.3333333333333333,0.6666666666666666,12.0,3.0,11.0,26.0,0.46153846153846156,0.8846153846153846,39.0,1.7727272727272727,13.0,0.5909090909090909,26.0,1.1818181818181817,12.0,1.2,13.0,1.3,-1.0,-0.10000000000000009,51.0,1.59375,25.0,0.78125,26.0,0.8125,4.0,0.8,3.0,0.6,1.0,0.20000000000000007,0.0,0.0,3.0,3.0,-3.0,-3.0,4.0,0.6666666666666666,6.0,1.0,-2.0,-0.3333333333333333,47.0,1.8076923076923077,20.0,0.7692307692307693,27.0,1.0384615384615385
1,Afghanistan,18.0,17.0,35.0,17.0,52.0,69.0,10.0,21.0,31.0,45.0,90.0,135.0,0.4,0.6222222222222222,0.18888888888888888,0.4222222222222222,0.25925925925925924,0.4888888888888889,5.0,3.0,8.0,3.0,14.0,17.0,2.0,6.0,8.0,10.0,23.0,33.0,0.5,0.7,0.13043478260869565,0.391304347826087,0.24242424242424243,0.48484848484848486,27.0,52.0,23.0,102.0,0.2647058823529412,0.49019607843137253,55.0,1.2222222222222223,69.0,1.5333333333333334,-14.0,-0.3111111111111111,83.0,0.9222222222222223,208.0,2.311111111111111,-125.0,-1.3888888888888886,138.0,1.0222222222222221,-139.0,-1.0296296296296297,277.0,2.051851851851852,11.0,1.1,11.0,1.1,0.0,0.0,18.0,0.782608695652174,38.0,1.6521739130434783,-20.0,-0.8695652173913043,29.0,0.8787878787878788,49.0,1.4848484848484849,-20.0,-0.6060606060606061,109.0,1.0686274509803921,228.0,2.235294117647059,-119.0,-1.1666666666666667
2,Albania,73.0,27.0,100.0,78.0,115.0,193.0,46.0,34.0,80.0,197.0,176.0,373.0,0.37055837563451777,0.6040609137055838,0.1534090909090909,0.3465909090909091,0.2680965147453083,0.48257372654155495,33.0,8.0,41.0,16.0,27.0,43.0,17.0,13.0,30.0,66.0,48.0,114.0,0.5,0.7575757575757576,0.16666666666666666,0.4375,0.35964912280701755,0.6228070175438597,59.0,150.0,50.0,259.0,0.2277992277992278,0.42084942084942084,224.0,1.1370558375634519,220.0,1.116751269035533,4.0,0.020304568527918843,127.0,0.7215909090909091,345.0,1.9602272727272727,-218.0,-1.2386363636363638,351.0,0.9410187667560321,-214.0,-0.5737265415549598,565.0,1.5147453083109919,90.0,1.3636363636363635,53.0,0.803030303030303,37.0,0.5606060606060606,45.0,0.9375,87.0,1.8125,-42.0,-0.875,135.0,1.1842105263157894,140.0,1.2280701754385965,-5.0,-0.043859649122807015,216.0,0.833976833976834,425.0,1.640926640926641,-209.0,-0.806949806949807
3,Alderney,1.0,4.0,5.0,46.0,82.0,128.0,1.0,1.0,2.0,48.0,87.0,135.0,0.020833333333333332,0.041666666666666664,0.04597701149425287,0.05747126436781609,0.037037037037037035,0.05185185185185185,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,5.0,126.0,1.0,132.0,0.03787878787878788,0.045454545454545456,20.0,0.4166666666666667,199.0,4.145833333333333,-179.0,-3.7291666666666665,53.0,0.6091954022988506,421.0,4.839080459770115,-368.0,-4.2298850574712645,73.0,0.5407407407407407,-547.0,-4.051851851851852,620.0,4.592592592592593,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,11.0,5.5,-9.0,-4.5,3.0,1.0,12.0,4.0,-9.0,-3.0,70.0,0.5303030303030303,608.0,4.606060606060606,-538.0,-4.075757575757576
4,Algeria,191.0,73.0,264.0,60.0,103.0,163.0,82.0,75.0,157.0,333.0,251.0,584.0,0.5735735735735735,0.8198198198198198,0.2908366533864542,0.5896414342629482,0.4520547945205479,0.7208904109589042,67.0,26.0,93.0,35.0,34.0,69.0,38.0,26.0,64.0,140.0,86.0,226.0,0.4785714285714286,0.75,0.3023255813953488,0.6046511627906976,0.41150442477876104,0.6946902654867256,171.0,94.0,93.0,358.0,0.4776536312849162,0.7374301675977654,626.0,1.87987987987988,281.0,0.8438438438438438,345.0,1.0360360360360361,252.0,1.00398406374502,312.0,1.2430278884462151,-60.0,-0.23904382470119523,878.0,1.5034246575342465,285.0,0.488013698630137,593.0,1.0154109589041096,223.0,1.5928571428571427,136.0,0.9714285714285714,87.0,0.6214285714285713,74.0,0.8604651162790697,103.0,1.197674418604651,-29.0,-0.33720930232558133,297.0,1.3141592920353982,239.0,1.0575221238938053,58.0,0.25663716814159293,581.0,1.6229050279329609,354.0,0.9888268156424581,227.0,0.6340782122905028
5,American Samoa,3.0,1.0,4.0,19.0,27.0,46.0,2.0,0.0,2.0,24.0,28.0,52.0,0.125,0.20833333333333334,0.03571428571428571,0.03571428571428571,0.07692307692307693,0.11538461538461539,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,45.0,2.0,51.0,0.0784313725490196,0.11764705882352941,18.0,0.75,145.0,6.041666666666667,-127.0,-5.291666666666667,13.0,0.4642857142857143,199.0,7.107142857142857,-186.0,-6.642857142857142,31.0,0.5961538461538461,-313.0,-6.019230769230769,344.0,6.615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,-6.0,-6.0,0.0,0.0,6.0,6.0,-6.0,-6.0,31.0,0.6078431372549019,338.0,6.627450980392157,-307.0,-6.019607843137255
6,Andalusia,7.0,1.0,8.0,1.0,0.0,1.0,4.0,0.0,4.0,12.0,1.0,13.0,0.5833333333333334,0.9166666666666666,1.0,1.0,0.6153846153846154,0.9230769230769231,7.0,1.0,8.0,1.0,0.0,1.0,4.0,0.0,4.0,12.0,1.0,13.0,0.5833333333333334,0.9166666666666666,1.0,1.0,0.6153846153846154,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.9166666666666667,13.0,1.0833333333333333,10.0,0.8333333333333335,2.0,2.0,1.0,1.0,1.0,1.0,25.0,1.9230769230769231,11.0,0.8461538461538461,14.0,1.0769230769230769,23.0,1.9166666666666667,13.0,1.0833333333333333,10.0,0.8333333333333335,2.0,2.0,1.0,1.0,1.0,1.0,25.0,1.9230769230769231,14.0,1.0769230769230769,11.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0
7,Andorra,10.0,2.0,12.0,79.0,88.0,167.0,16.0,11.0,27.0,105.0,101.0,206.0,0.09523809523809523,0.24761904761904763,0.019801980198019802,0.12871287128712872,0.05825242718446602,0.18932038834951456,5.0,0.0,5.0,18.0,18.0,36.0,6.0,4.0,10.0,29.0,22.0,51.0,0.1724137931034483,0.3793103448275862,0.0,0.18181818181818182,0.09803921568627451,0.29411764705882354,7.0,131.0,17.0,155.0,0.04516129032258064,0.15483870967741936,39.0,0.37142857142857144,216.0,2.057142857142857,-177.0,-1.6857142857142855,29.0,0.2871287128712871,289.0,2.8613861386138613,-260.0,-2.5742574257425743,68.0,0.3300970873786408,-437.0,-2.121359223300971,505.0,2.4514563106796117,13.0,0.4482758620689655,40.0,1.3793103448275863,-27.0,-0.9310344827586208,5.0,0.22727272727272727,57.0,2.590909090909091,-52.0,-2.3636363636363638,18.0,0.35294117647058826,97.0,1.9019607843137254,-79.0,-1.5490196078431373,50.0,0.3225806451612903,408.0,2.632258064516129,-358.0,-2.3096774193548386
8,Angola,92.0,41.0,133.0,37.0,85.0,122.0,62.0,77.0,139.0,191.0,203.0,394.0,0.4816753926701571,0.806282722513089,0.2019704433497537,0.5812807881773399,0.33756345177664976,0.6903553299492385,27.0,15.0,42.0,16.0,27.0,43.0,30.0,28.0,58.0,73.0,70.0,143.0,0.3698630136986301,0.7808219178082192,0.21428571428571427,0.6142857142857143,0.2937062937062937,0.6993006993006993,91.0,79.0,81.0,251.0,0.36254980079681276,0.6852589641434262,276.0,1.4450261780104712,161.0,0.8429319371727748,115.0,0.6020942408376964,169.0,0.8325123152709359,249.0,1.2266009852216748,-80.0,-0.3940886699507389,445.0,1.1294416243654823,35.0,0.08883248730964467,410.0,1.0406091370558375,80.0,1.095890410958904,66.0,0.9041095890410958,14.0,0.1917808219178082,63.0,0.9,88.0,1.2571428571428571,-25.0,-0.3571428571428571,143.0,1.0,154.0,1.0769230769230769,-11.0,-0.07692307692307693,302.0,1.203187250996016,256.0,1.0199203187250996,46.0,0.18326693227091634
9,Anguilla,2.0,2.0,4.0,21.0,43.0,64.0,4.0,5.0,9.0,27.0,50.0,77.0,0.07407407407407407,0.2222222222222222,0.04,0.14,0.05194805194805195,0.16883116883116883,0.0,2.0,2.0,4.0,7.0,11.0,1.0,1.0,2.0,5.0,10.0,15.0,0.0,0.2,0.2,0.3,0.13333333333333333,0.26666666666666666,2.0,53.0,7.0,62.0,0.03225806451612903,0.14516129032258066,15.0,0.5555555555555556,73.0,2.7037037037037037,-58.0,-2.148148148148148,27.0,0.54,235.0,4.7,-208.0,-4.16,42.0,0.5454545454545454,-266.0,-3.4545454545454546,308.0,4.0,3.0,0.6,8.0,1.6,-5.0,-1.0,9.0,0.9,33.0,3.3,-24.0,-2.4,12.0,0.8,41.0,2.7333333333333334,-29.0,-1.9333333333333333,30.0,0.4838709677419355,267.0,4.306451612903226,-237.0,-3.8225806451612905
